Color,Normalized Value,Format(s) Found,Token,Semantic Role,Consumers,Occurrences,Status
"rgba(173, 175, 188, 0.3)",rgba(173 175 188 / 0.300),RGBA,,Derived alpha/shadow/overlay,src/BeeDay.Web/wwwroot/css/vendor/nes-core.beeday-excerpt.css:1,1,LEGACY
rgb(18 68 144 / 6%),rgba(18 68 144 / 0.060),RGB,--beeday-shadow-xs,Shadow/depth,src/BeeDay.Web/wwwroot/css/variables.css:1,1,DERIVED STATE
rgb(18 68 144 / 8%),rgba(18 68 144 / 0.080),RGB,--beeday-shadow-sm,Shadow/depth,src/BeeDay.Web/wwwroot/css/variables.css:1,1,DERIVED STATE
rgb(18 68 144 / 10%),rgba(18 68 144 / 0.100),RGB,--beeday-shadow-md,Shadow/depth,src/BeeDay.Web/wwwroot/css/variables.css:1,1,DERIVED STATE
rgb(18 68 144 / 16%),rgba(18 68 144 / 0.160),RGB,--beeday-shadow-lg,Shadow/depth,src/BeeDay.Web/wwwroot/css/variables.css:1,1,DERIVED STATE
rgb(18 68 144 / 64%),rgba(18 68 144 / 0.640),RGB,--beeday-color-overlay,Overlay,src/BeeDay.Web/wwwroot/css/variables.css:1,1,DERIVED STATE
rgb(20 4 42 / 24%),rgba(20 4 42 / 0.240),RGB,,Derived alpha/shadow/overlay,src/BeeDay.Web/Components/Features/ProfileCreation/Pages/Welcome.razor.css:1,1,DERIVED STATE
rgb(20 4 42 / 32%),rgba(20 4 42 / 0.320),RGB,,Derived alpha/shadow/overlay,src/BeeDay.Web/Components/Features/ProfileCreation/Pages/Welcome.razor.css:1,1,DERIVED STATE
rgb(23 19 33 / 18%),rgba(23 19 33 / 0.180),RGB,--beeday-game-shadow-lg,Shadow/depth; Legacy game,src/BeeDay.Web/wwwroot/css/variables.css:1,1,SPECIALIZED
rgb(23 19 33 / 25%),rgba(23 19 33 / 0.250),RGB,,Derived alpha/shadow/overlay,src/BeeDay.Web/Components/Features/Experience/Components/ExperienceBar.razor.css:1,1,DERIVED STATE
rgb(24 15 29 / 64%),rgba(24 15 29 / 0.640),RGB,,Derived alpha/shadow/overlay,src/BeeDay.Web/Components/Features/Projects/Components/ProjectWorkspace.razor.css:1,1,DERIVED STATE
rgb(24 90 189 / 28%),rgba(24 90 189 / 0.280),RGB,--beeday-focus-color,Focus,src/BeeDay.Web/wwwroot/css/variables.css:1,1,DERIVED STATE
rgb(255 232 141 / 42%),rgba(255 232 141 / 0.420),RGB,--beeday-focus-ring-inverse,Focus,src/BeeDay.Web/wwwroot/css/variables.css:1,1,DERIVED STATE
rgb(255 255 255 / 12%),rgba(255 255 255 / 0.120),RGB,,Derived alpha/shadow/overlay,src/BeeDay.Web/Components/Layout/AppFooter.razor.css:1,1,DERIVED STATE
rgb(255 255 255 / 16%),rgba(255 255 255 / 0.160),RGB,,Derived alpha/shadow/overlay,src/BeeDay.Web/Components/Layout/AppFooter.razor.css:1,1,DERIVED STATE
rgb(255 255 255 / 35%),rgba(255 255 255 / 0.350),RGB,,Derived alpha/shadow/overlay,src/BeeDay.Web/Components/Features/Home/Pages/Home.razor.css:1,1,DERIVED STATE
rgb(255 255 255 / 42%),rgba(255 255 255 / 0.420),RGB,,Derived alpha/shadow/overlay,src/BeeDay.Web/Components/DesignSystem/Progress/BeeDayProgressBar.razor.css:1,1,DERIVED STATE
rgb(255 255 255 / 58%),rgba(255 255 255 / 0.580),RGB,,Derived alpha/shadow/overlay,src/BeeDay.Web/wwwroot/css/cards.css:1,1,DERIVED STATE
rgb(255 255 255 / 68%),rgba(255 255 255 / 0.680),RGB,--habit-button-border,Habit category; Neutral border; Button state,src/BeeDay.Web/wwwroot/css/cards.css:1,1,SPECIALIZED
rgb(255 255 255 / 78%),rgba(255 255 255 / 0.780),RGB,,Derived alpha/shadow/overlay,src/BeeDay.Web/Components/Layout/AppFooter.razor.css:1,1,DERIVED STATE
rgb(30 12 52 / 12%),rgba(30 12 52 / 0.120),RGB,,Derived alpha/shadow/overlay,src/BeeDay.Web/wwwroot/app.css:1,1,DERIVED STATE
rgb(32 180 244 / 30%),rgba(32 180 244 / 0.300),RGB,--beeday-color-button-reference-blue-focus,Focus; Button state,src/BeeDay.Web/wwwroot/css/variables.css:1,1,DERIVED STATE
rgb(35 18 56 / 82%),rgba(35 18 56 / 0.820),RGB,,Derived alpha/shadow/overlay,src/BeeDay.Web/Components/Features/Experience/Feedback/BeeDayFeedbackModal.razor.css:1,1,DERIVED STATE
rgb(35 25 45 / 55%),rgba(35 25 45 / 0.550),RGB,,Derived alpha/shadow/overlay,src/BeeDay.Web/Components/Layout/MobileSidebar.razor.css:1,1,DERIVED STATE
rgb(35 25 45 / 70%),rgba(35 25 45 / 0.700),RGB,,Derived alpha/shadow/overlay,src/BeeDay.Web/wwwroot/css/editor-modal.css:1,1,DERIVED STATE
rgb(38 24 54 / 5%),rgba(38 24 54 / 0.050),RGB,,Derived alpha/shadow/overlay,src/BeeDay.Web/Components/Features/Dashboard/Components/ActivityFilterBar.razor.css:1,1,DERIVED STATE
rgb(40 27 52 / 8%),rgba(40 27 52 / 0.080),RGB,--activity-shadow-rest,Shadow/depth,src/BeeDay.Web/wwwroot/css/activity-design-system.css:1,1,DERIVED STATE
rgb(45 28 66 / 13%),rgba(45 28 66 / 0.130),RGB,--activity-shadow-hover,Shadow/depth,src/BeeDay.Web/wwwroot/css/activity-design-system.css:1,1,DERIVED STATE
rgb(47 27 72 / 78%),rgba(47 27 72 / 0.780),RGB,,Derived alpha/shadow/overlay,src/BeeDay.Web/wwwroot/css/feedback.css:1,1,DERIVED STATE
rgb(47 36 56 / 7%),rgba(47 36 56 / 0.070),RGB,,Derived alpha/shadow/overlay,src/BeeDay.Web/Components/Features/Dashboard/Components/DashboardColumn.razor.css:1,1,DERIVED STATE
rgb(47 36 56 / 8%),rgba(47 36 56 / 0.080),RGB,,Derived alpha/shadow/overlay,src/BeeDay.Web/Components/Features/Dashboard/Components/DashboardColumn.razor.css:1,1,DERIVED STATE
rgb(47 39 55 / 20%),rgba(47 39 55 / 0.200),RGB,,Derived alpha/shadow/overlay,src/BeeDay.Web/Components/DesignSystem/Progress/BeeDayProgressBar.razor.css:1,1,DERIVED STATE
rgb(50 30 20 / 12%),rgba(50 30 20 / 0.120),RGB,,Derived alpha/shadow/overlay,src/BeeDay.Web/wwwroot/css/cards.css:1,1,DERIVED STATE
rgb(68 64 71 / 28%),rgba(68 64 71 / 0.280),RGB,--beeday-color-button-confirmation-cancel-focus,Focus; Button state,src/BeeDay.Web/wwwroot/css/variables.css:1,1,DERIVED STATE
